date,West South Central
Dec-1997,5.3
Jan-1998,5.5
Feb-1998,5.3
Mar-1998,5.2
Apr-1998,5
May-1998,5.2
Jun-1998,5.3
Jul-1998,5.4
Aug-1998,5.5
Sep-1998,5.4
Oct-1998,5.4
Nov-1998,5.5
Dec-1998,5.6
Jan-1999,5.5
Feb-1999,5.6
Mar-1999,5.8
Apr-1999,5.8
May-1999,5.7
Jun-1999,5.5
Jul-1999,5.3
Aug-1999,5.4
Sep-1999,5.6
Oct-1999,5.8
Nov-1999,5.6
Dec-1999,5.4
Jan-2000,5.3
Feb-2000,5.3
Mar-2000,5.2
Apr-2000,5.2
May-2000,5.3
Jun-2000,5.3
Jul-2000,5.2
Aug-2000,5.1
Sep-2000,5.1
Oct-2000,5
Nov-2000,5
Dec-2000,5.2
Jan-2001,5.1
Feb-2001,5.1
Mar-2001,5
Apr-2001,5.2
May-2001,5
Jun-2001,4.9
Jul-2001,5.2
Aug-2001,5.3
Sep-2001,5.4
Oct-2001,5.4
Nov-2001,5.7
Dec-2001,5.6
Jan-2002,5.8
Feb-2002,5.8
Mar-2002,5.7
Apr-2002,5.3
May-2002,5.3
Jun-2002,5.3
Jul-2002,5
Aug-2002,4.9
Sep-2002,4.6
Oct-2002,4.2
Nov-2002,3.8
Dec-2002,3.6
Jan-2003,3.6
Feb-2003,3.4
Mar-2003,3.3
Apr-2003,3.3
May-2003,3.2
Jun-2003,3.2
Jul-2003,3
Aug-2003,3.2
Sep-2003,3.1
Oct-2003,3.1
Nov-2003,3.2
Dec-2003,3.2
Jan-2004,3.2
Feb-2004,3.3
Mar-2004,3.4
Apr-2004,3.2
May-2004,3.2
Jun-2004,3.3
Jul-2004,3.5
Aug-2004,3.3
Sep-2004,3.4
Oct-2004,3.6
Nov-2004,3.6
Dec-2004,3.5
Jan-2005,3.5
Feb-2005,3.4
Mar-2005,3.5
Apr-2005,3.7
May-2005,3.7
Jun-2005,3.5
Jul-2005,3.4
Aug-2005,3.4
Sep-2005,3.4
Oct-2005,3.4
Nov-2005,3.5
Dec-2005,3.7
Jan-2006,3.8
Feb-2006,3.8
Mar-2006,4.1
Apr-2006,4.2
May-2006,4.2
Jun-2006,4.3
Jul-2006,4.3
Aug-2006,4.4
Sep-2006,4.5
Oct-2006,4.4
Nov-2006,4.4
Dec-2006,4.5
Jan-2007,4.5
Feb-2007,4.5
Mar-2007,4.4
Apr-2007,4.2
May-2007,4.2
Jun-2007,4.3
Jul-2007,4.3
Aug-2007,4.4
Sep-2007,4.6
Oct-2007,4.7
Nov-2007,4.7
Dec-2007,4.6
Jan-2008,4.6
Feb-2008,4.5
Mar-2008,4.4
Apr-2008,4.6
May-2008,5.1
Jun-2008,5
Jul-2008,5
Aug-2008,5
Sep-2008,4.8
Oct-2008,5
Nov-2008,4.9
Dec-2008,4.7
Jan-2009,4.7
Feb-2009,4.8
Mar-2009,4.8
Apr-2009,4.7
May-2009,4.4
Jun-2009,4.4
Jul-2009,4.3
Aug-2009,4
Sep-2009,3.9
Oct-2009,3.6
Nov-2009,3.5
Dec-2009,3.3
Jan-2010,3.1
Feb-2010,3
Mar-2010,2.9
Apr-2010,2.8
May-2010,2.5
Jun-2010,2.2
Jul-2010,2.2
Aug-2010,2.3
Sep-2010,2.2
Oct-2010,2.2
Nov-2010,2.1
Dec-2010,2.2
Jan-2011,2.1
Feb-2011,1.8
Mar-2011,1.7
Apr-2011,1.6
May-2011,1.7
Jun-2011,1.7
Jul-2011,1.5
Aug-2011,1.6
Sep-2011,1.7
Oct-2011,1.8
Nov-2011,1.9
Dec-2011,1.9
Jan-2012,2.2
Feb-2012,2.2
Mar-2012,2.2
Apr-2012,2.3
May-2012,2.3
Jun-2012,2.3
Jul-2012,2.4
Aug-2012,2.1
Sep-2012,2
Oct-2012,2.1
Nov-2012,2.1
Dec-2012,2.1
Jan-2013,1.9
Feb-2013,2.1
Mar-2013,2
Apr-2013,1.9
May-2013,1.8
Jun-2013,1.7
Jul-2013,1.7
Aug-2013,2.1
Sep-2013,2.2
Oct-2013,2.1
Nov-2013,2.1
Dec-2013,2.1
Jan-2014,2.3
Feb-2014,2.3
Mar-2014,2.5
Apr-2014,2.4
May-2014,2.5
Jun-2014,2.7
Jul-2014,2.8
Aug-2014,2.7
Sep-2014,2.7
Oct-2014,2.8
Nov-2014,2.9
Dec-2014,2.9
Jan-2015,2.9
Feb-2015,2.8
Mar-2015,2.9
Apr-2015,3.2
May-2015,3.1
Jun-2015,3.1
Jul-2015,2.9
Aug-2015,2.8
Sep-2015,2.6
Oct-2015,2.3
Nov-2015,2.3
Dec-2015,2
Jan-2016,2
Feb-2016,2.1
Mar-2016,2.1
Apr-2016,1.9
May-2016,2.1
Jun-2016,2.1
Jul-2016,2.3
Aug-2016,2.5
Sep-2016,2.5
Oct-2016,2.7
Nov-2016,2.6
Dec-2016,2.8
Jan-2017,2.7
Feb-2017,2.7
Mar-2017,2.9
Apr-2017,2.9
May-2017,2.8
Jun-2017,2.7
Jul-2017,2.6
Aug-2017,2.5
